pid,email_21,messenger_21,blog_21,cloud_21,call_check_21,service_purchase_21,money_transfer_21,cradit_card_21,agency_purchase_21,machine_purchase_21,phone_owner_21,data_21,dmb_21,agency_21,voice_service_21,data_service_21,use_date_21,brand_21,age_21,school_21,marry_21,salary_21,job_21,religion_21,email_22,messenger_22,blog_22,cloud_22,call_check_22,service_purchase_22,money_transfer_22,cradit_card_22,agency_purchase_22,machine_purchase_22,phone_owner_22,data_22,dmb_22,agency_22,voice_service_22,data_service_22,use_date_22,brand_22,age_22,school_22,marry_22,salary_22,job_22,religion_22,email_23,messenger_23,blog_23,cloud_23,call_check_23,service_purchase_23,money_transfer_23,cradit_card_23,agency_purchase_23,machine_purchase_23,phone_owner_23,data_23,dmb_23,agency_23,voice_service_23,data_service_23,use_date_23,brand_23,age_23,school_23,marry_23,salary_23,job_23,religion_23
71150002,1,1,2,1,2,2,1,2,24,34,1,2,2,1,1,2,8,3,5,4,2,4,1,1,2,1,2,1,2,1,1,1,35,34,1,2,2,1,2,2,23,3,5,4,2,4,1,1,2,1,2,1,1,1,1,1,59,38,1,4,2,1,1,1,1,3,5,4,2,4,1,1
71150003,1,1,2,2,1,8,2,2,24,12,4,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,7,2,2,36,0,4,2,2,1,2,2,3,1,2,2,1,1,2,1,2,1,2,2,1,1,1,2,54,48,4,4,2,1,1,1,6,3,2,2,1,1,2,1
71160001,1,1,2,1,1,1,1,1,110,0,1,3,1,3,1,1,30,1,5,4,2,9,1,2,1,1,2,2,1,1,1,1,115,3,1,4,1,1,1,1,3,1,5,4,2,9,1,2,1,1,2,2,1,1,1,1,79,3,1,4,2,1,1,1,17,1,5,4,2,9,1,2
71160002,1,1,2,2,1,1,1,1,54,0,4,3,1,3,2,2,29,1,5,4,2,1,2,2,1,1,2,2,1,1,1,1,65,0,4,3,1,1,1,1,29,1,5,4,2,1,2,2,1,1,2,2,1,1,1,1,55,0,4,3,1,1,2,2,43,1,5,4,2,1,2,2
71160003,1,1,2,2,1, , , ,21,0,4,2,1,3,2,2,38,1,2,1,1,1,2,2,1,1,2,2,1,7,2,2,25,0,4,3,1,1,2,2,4,1,2,2,1,1,2,2,1,1,2,2,1,7,2,2,32,3,4,3,1,1,2,2,18,1,2,2,1,1,2,2
71180001,1,1,2,1,2,1,1,2,33,0,1,2,1,2,1,2,6,1,6,3,2,10,1,2,1,1,2,1,1,4,1,2,69,21,1,4,2,1,1,1,19,1,6,3,2,11,1,2,1,1,2,1,2,8,1,2,80,27,1,4,1,2,1,1,11,1,6,3,2,11,1,2
71180002,1,1,2,2,2,1,2,1,65,0,1,3,1,2,1,1,13,1,5,3,2,5,1,2,1,1,2,2,1,1,2,1,69,24,1,4,2,2,1,1,6,1,5,3,2,6,1,2,1,1,2,2,2,1,1,1,69,25,1,4,1,2,1,1,22,1,6,3,2,6,1,2
71180003,1,1,2,1,1,2,1,2,110,35,1,4,2,2,1,1,6,3,3,3,1,8,1,2,1,1,2,1,1,8,1,2,110,27,1,4,2,2,1,1,6,3,3,3,1,8,1,2,1,1,2,1,2,2,1,2,110,31,1,4,2,2,1,1,7,3,3,3,1,8,1,2
71180004,1,1,2,1,1,1,1,2,110,35,1,4,2,2,1,1,6,3,3,4,1,2,2,2,1,1,2,2,1,7,1,2,110,25,4,4,2,2,1,1,7,3,3,4,1,1,2,2,1,1,2,1,2,7,1,2,69,31,1,4,2,2,1,1,20,3,3,4,1,3,2,2
71200001,2,1,2,2,1,8,1,2,42,9,1,2,2,1,2,2,18,1,6,3,2,9,1,2,1,1,2,2,1,1,1,1,16,16,1,2,1,1,2,2,24,1,6,3,2,7,1,2,2,2,2,2,2,7,1,1,35,0,1,3,2,1,2,2,37,1,6,3,2,6,1,2
